OrderID,OrderDateKey,OrderDate,CustomerID,Currency,OrderStatus,PaymentMethod,ShipMode,ShipAddress
10028,20250926,2025-09-26 00:00:00,124,EUR,Paid,Card,Standard,"City-2-2, Region-2, France"
10029,20240219,2024-02-19 00:00:00,67,USD,Shipped,PayPal,Express,"City-4-2, Region-4, Poland"
10030,20241109,2024-11-09 00:00:00,217,USD,Shipped,Invoice,Standard,"City-2-3, Region-2, Netherlands"
10031,20240512,2024-05-12 00:00:00,172,£,Shippedd,PayPal,Standard,"City-5-3, Region-5, Italy"
10032,20240928,2024-09-28 00:00:00,233,EUR,Shipped,Card,Express,"City-1-2, Region-1, United Kingdom"
10033,20240622,2024-06-22 14:35:00,24,USD,Paid,Card,Standard,"City-5-1, Region-5, United Kingdom"
10034,20250507,2025-05-07 00:00:00,83,USD,Shipped,Card,Express,"City-5-1, Region-5, Poland"
10035,20251109,2025-09-11 00:00:00,69,GBP,Paid,Card,Same-Day,"City-3-3, Region-3, Italy"
10036,20240527,2024-05-27 00:00:00,152,EUR,Shipped,Card,Standard,"City-4-1, Region-4, Germany"
10037,20251204,2025-12-04 00:00:00,96,USD,Shipped,Card,Same-Day,"City-3-2, Region-3, Poland"
10038,20250814,2025-08-14 00:00:00,247,USD,Paid,Card,Express,"City-2-5, Region-2, Italy"
10039,20250408,2025-04-08 00:00:00,160,GBP,Returned,Wire,Standard,"City-5-4, Region-5, United Kingdom"
10040,20250314,2025-03-14 00:00:00,188,€,Paid,Wire,Express,"City-2-3, Region-2, Poland"
10041,20241107,2024-11-07 00:00:00,52,EUR,Shipped,Card,Standard,"City-4-1, Region-4, Italy"
10042,20250624,2025-06-24 00:00:00,65,EUR,Shippedd,Wire,Standard,"City-1-2, Region-1, Germany"
10043,20240511,2024-05-11 00:00:00,132,USD,Shipped,Invoice,Standard,"City-4-2, Region-4, France"
10044,20241228,2024-12-28 14:35:00,170,GBP,Paid,Card,Standard,"City-2-1, Region-2, United Kingdom"
10045,20251118,2025-11-18 00:00:00,45,USD,Paid,Card,Standard,"City-2-5, Region-2, Poland"
10046,20240810,2024-08-10 00:00:00,152,GBP,Submitted,Card,Express,"City-4-1, Region-4, Germany"
10047,20241231,2024-12-31 00:00:00,198,EUR,Shipped,Wire,Standard,"City-5-1, Region-5, Italy"
10048,20250304,2025-03-04 00:00:00,158,GBP,Cancelled,Wire,Standard,"City-3-3, Region-3, United Kingdom"
10049,20250401,2025-01-04 00:00:00,60,EUR,Paid,Card,Standard,"City-3-2, Region-3, Netherlands"
10050,20250502,2025-05-02 00:00:00,123,GBP,Paid,Card,Standard,"City-4-5, Region-4, Poland"
10051,20240407,2024-04-07 00:00:00,75,€,Submitted,Card,Standard,"City-2-2, Region-2, Poland"
10052,20240515,2024-05-15 00:00:00,19,GBP,Submitted,Invoice,Standard,"City-4-5, Region-4, Spain"
10053,20240902,2024-09-02 00:00:00,115,GBP,Submitted,Card,Standard,"City-3-3, Region-3, Poland"
10054,20240715,2024-07-15 00:00:00,209,USD,Paid,Card,Standard,"City-4-1, Region-4, Poland"
10055,20250927,2025-09-27 14:35:00,35,EUR,Paid,Wire,Standard,"City-1-1, Region-1, Netherlands"
10056,20240301,2024-01-03 00:00:00,224,USD,Submitted,Card,Standard,"City-4-5, Region-4, Spain"
10057,20241020,2024-10-20 00:00:00,156,USD,Shipped,Card,Standard,"City-2-3, Region-2, Poland"
10058,20250122,2025-01-22 00:00:00,113,GBP,Submitted,PayPal,Express,"City-1-3, Region-1, United Kingdom"
10059,20240322,2024-03-22 00:00:00,114,GBP,Paid,Card,Standard,"City-1-1, Region-1, Poland"
10060,20241009,2024-10-09 00:00:00,57,GBP,Shippedd,PayPal,Standard,"City-2-4, Region-2, Italy"
10061,20240118,2024-01-18 00:00:00,52,€,Paid,Card,Standard,"City-4-1, Region-4, Italy"
10062,20240710,2024-07-10 00:00:00,229,USD,Shipped,Wire,Standard,"City-3-4, Region-3, France"
10063,20251120,2025-11-20 00:00:00,92,USD,Submitted,Invoice,Standard,"City-5-2, Region-5, Poland"
10064,20251226,2025-12-26 00:00:00,44,EUR,Shipped,Card,Standard,"City-2-5, Region-2, Spain"
10065,20250305,2025-03-05 00:00:00,43,EUR,Submitted,Card,Same-Day,"City-3-4, Region-3, Germany"
10066,20241224,2024-12-24 14:35:00,161,EUR,Paid,Wire,Standard,"City-1-2, Region-1, France"
10067,20240606,2024-06-06 00:00:00,170,£,Paid,Card,Standard,"City-2-1, Region-2, United Kingdom"
10068,20240601,2024-06-01 00:00:00,200,USD,Paid,PayPal,Standard,"City-3-2, Region-3, Italy"
10069,20250923,2025-09-23 00:00:00,236,EUR,Paid,PayPal,Standard,"City-1-5, Region-1, Spain"
10070,20251129,2025-11-29 00:00:00,49,GBP,Paid,Wire,Standard,"City-1-1, Region-1, Italy"
10071,20250504,2025-05-04 00:00:00,247,EUR,Paid,Card,Standard,"City-2-5, Region-2, Italy"
10072,20251015,2025-10-15 00:00:00,210,EUR,Paid,Card,Standard,"City-4-2, Region-4, Netherlands"
10073,20240813,2024-08-13 00:00:00,97,EUR,Paid,Invoice,Standard,"City-4-2, Region-4, Germany"
10074,20240113,2024-01-13 00:00:00,169,£,Shipped,Invoice,Standard,"City-2-4, Region-2, Spain"
10075,20251230,2025-12-30 00:00:00,113,EUR,Paid,Card,Express,"City-1-3, Region-1, United Kingdom"
10076,20241021,2024-10-21 00:00:00,213,EUR,Submitted,Card,Standard,"City-5-2, Region-5, France"
10077,20240205,2024-05-02 14:35:00,3,USD,Submitted,PayPal,Standard,"City-3-2, Region-3, France"
10078,20250806,2025-08-06 00:00:00,151,GBP,Paid,Wire,Standard,"City-5-2, Region-5, Italy"
10079,20240623,2024-06-23 00:00:00,136,EUR,Paid,Card,Standard,"City-3-1, Region-3, France"
10080,20240229,2024-02-29 00:00:00,100,USD,Paid,PayPal,Standard,"City-4-4, Region-4, France"
10081,20250606,2025-06-06 00:00:00,188,EUR,Paid,Card,Express,"City-2-3, Region-2, Poland"
10082,20250530,2025-05-30 00:00:00,172,GBP,Paid,Invoice,Same-Day,"City-5-3, Region-5, Italy"
10083,20250815,2025-08-15 00:00:00,118,USD,Returned,Card,Standard,"City-1-4, Region-1, Netherlands"
10084,20250925,2025-09-25 00:00:00,188,EUR,Shipped,Card,Standard,"City-2-3, Region-2, Poland"
10085,20250726,2025-07-26 00:00:00,44,GBP,Shipped,PayPal,Express,"City-2-5, Region-2, Spain"
10086,20240520,2024-05-20 00:00:00,77,EUR,Paid,Card,Standard,"City-1-2, Region-1, Italy"
10087,20240918,2024-09-18 00:00:00,24,£,Submitted,Wire,Same-Day,"City-5-1, Region-5, United Kingdom"
10088,20240618,2024-06-18 14:35:00,81,EUR,Paid,Wire,Same-Day,"City-4-3, Region-4, Spain"
10089,20240101,2024-01-01 00:00:00,248,GBP,Shipped,Card,Standard,"City-5-1, Region-5, Italy"
10090,20250627,2025-06-27 00:00:00,160,EUR,Paid,Wire,Standard,"City-5-4, Region-5, United Kingdom"
10091,20240117,2024-01-17 00:00:00,100,USD,Paid,Wire,Standard,"City-4-4, Region-4, France"
10092,20240226,2024-02-26 00:00:00,143,€,Submitted,Card,Standard,"City-5-1, Region-5, Spain"
10093,20251215,2025-12-15 00:00:00,187,€,Paid,PayPal,Standard,"City-5-3, Region-5, United Kingdom"
10094,20241108,2024-11-08 00:00:00,97,EUR,Paid,Invoice,Standard,"City-4-2, Region-4, Germany"
10095,20240824,2024-08-24 00:00:00,194,USD,Shipped,Card,Express,"City-5-4, Region-5, United Kingdom"
10096,20241029,2024-10-29 00:00:00,161,EUR,Submitted,Card,Standard,"City-1-2, Region-1, France"
10097,20251221,2025-12-21 00:00:00,128,USD,Shipped,Card,Same-Day,"City-3-5, Region-3, Netherlands"
10098,20250929,2025-09-29 00:00:00,103,GBP,Paid,Invoice,Standard,"City-1-5, Region-1, Poland"
10099,20250201,2025-02-01 14:35:00,219,EUR,Shipped,Card,Standard,"City-5-5, Region-5, United Kingdom"
10100,20250318,2025-03-18 00:00:00,191,EUR,Paid,Wire,Same-Day,"City-4-1, Region-4, France"
10101,20240304,2024-03-04 00:00:00,222,€,Paid,PayPal,Standard,"City-5-5, Region-5, Netherlands"
10102,20240319,2024-03-19 00:00:00,56,USD,Shipped,Card,Standard,"City-2-2, Region-2, France"
10103,20250701,2025-07-01 00:00:00,205,USD,Paid,PayPal,Standard,"City-2-5, Region-2, United Kingdom"
10104,20250320,2025-03-20 00:00:00,120,EUR,Shippedd,Card,Standard,"City-2-1, Region-2, United Kingdom"
10105,20250801,2025-01-08 00:00:00,58,GBP,Shipped,Wire,Standard,"City-4-2, Region-4, France"
10106,20240914,2024-09-14 00:00:00,233,USD,Paid,PayPal,Express,"City-1-2, Region-1, United Kingdom"
10107,20251217,2025-12-17 00:00:00,107,EUR,Submitted,Card,Same-Day,"City-1-2, Region-1, Spain"
10108,20240811,2024-08-11 00:00:00,201,GBP,Shipped,Wire,Standard,"City-5-2, Region-5, Germany"
10109,20250711,2025-07-11 00:00:00,51,EUR,Paid,Card,Standard,"City-5-1, Region-5, Germany"
10110,20240320,2024-03-20 14:35:00,189,EUR,Paid,Card,Standard,"City-4-3, Region-4, Poland"
10111,20241118,2024-11-18 00:00:00,218,€,Shipped,Wire,Standard,"City-5-4, Region-5, Spain"
10112,20240122,2024-01-22 00:00:00,235,GBP,Paid,PayPal,Standard,"City-2-5, Region-2, Germany"
10113,20241028,2024-10-28 00:00:00,92,USD,Paid,Card,Express,"City-5-2, Region-5, Poland"
10114,20251107,2025-11-07 00:00:00,79,EUR,Shipped,PayPal,Standard,"City-4-5, Region-4, Italy"
10115,20240706,2024-07-06 00:00:00,235,EUR,Shipped,PayPal,Standard,"City-2-5, Region-2, Germany"
10116,20241215,2024-12-15 00:00:00,3,€,Paid,Wire,Standard,"City-3-2, Region-3, France"
10117,20240130,2024-01-30 00:00:00,178,€,Paid,Card,Standard,"City-3-2, Region-3, Netherlands"
10118,20240728,2024-07-28 00:00:00,4,EUR,Paid,Wire,Standard,"City-2-5, Region-2, United Kingdom"
10119,20241210,2024-10-12 00:00:00,21,USD,Submitted,PayPal,Standard,"City-1-1, Region-1, United Kingdom"
10120,20251226,2025-12-26 00:00:00,49,€,Submitted,Card,Standard,"City-1-1, Region-1, Italy"
10121,20250203,2025-02-03 14:35:00,183,USD,Shipped,Card,Standard,"City-2-1, Region-2, Spain"
10122,20240311,2024-03-11 00:00:00,113,USD,Shipped,PayPal,Same-Day,"City-1-3, Region-1, United Kingdom"
10123,20250102,2025-01-02 00:00:00,161,£,Shipped,Wire,Standard,"City-1-2, Region-1, France"
10124,20250923,2025-09-23 00:00:00,51,GBP,Shipped,Card,Same-Day,"City-5-1, Region-5, Germany"
10125,20240228,2024-02-28 00:00:00,247,USD,Submitted,PayPal,Standard,"City-2-5, Region-2, Italy"
10126,20240420,2024-04-20 00:00:00,165,EUR,Submitted,Card,Standard,"City-5-5, Region-5, Italy"
10127,20250505,2025-05-05 00:00:00,92,USD,Paid,Wire,Express,"City-5-2, Region-5, Poland"
10128,20250810,2025-08-10 00:00:00,46,GBP,Paid,Card,Express,"City-1-4, Region-1, Germany"
10129,20250507,2025-05-07 00:00:00,168,USD,Submitted,Wire,Standard,"City-2-4, Region-2, United Kingdom"
10130,20250329,2025-03-29 00:00:00,225,EUR,Paid,Card,Express,"City-5-2, Region-5, France"
10131,20250607,2025-06-07 00:00:00,194,£,Shipped,Card,Standard,"City-5-4, Region-5, United Kingdom"
10132,20240805,2024-08-05 14:35:00,36,USD,Paid,PayPal,Express,"City-4-5, Region-4, Poland"
10133,20250712,2025-12-07 00:00:00,206,USD,Paid,Card,Express,"City-4-5, Region-4, Spain"
10134,20250401,2025-04-01 00:00:00,51,EUR,Returned,PayPal,Standard,"City-5-1, Region-5, Germany"
10135,20241130,2024-11-30 00:00:00,125,USD,Submitted,PayPal,Standard,"City-5-2, Region-5, Italy"
10136,20250925,2025-09-25 00:00:00,204,EUR,Paid,Wire,Express,"City-5-4, Region-5, Spain"
10137,20240831,2024-08-31 00:00:00,109,GBP,Submitted,Wire,Same-Day,"City-2-3, Region-2, Netherlands"
10138,20251118,2025-11-18 00:00:00,185,USD,Shipped,Card,Express,"City-2-2, Region-2, Netherlands"
10139,20241124,2024-11-24 00:00:00,111,GBP,Shipped,Card,Standard,"City-3-2, Region-3, Poland"
10140,20250511,2025-11-05 00:00:00,159,EUR,Paid,PayPal,Standard,"City-1-4, Region-1, Netherlands"
10141,20240202,2024-02-02 00:00:00,34,GBP,Paid,Card,Standard,"City-5-3, Region-5, United Kingdom"
10142,20250821,2025-08-21 00:00:00,45,£,Submitted,Wire,Standard,"City-2-5, Region-2, Poland"
10143,20250403,2025-04-03 14:35:00,107,USD,Submitted,Card,Standard,"City-1-2, Region-1, Spain"
10144,20240807,2024-08-07 00:00:00,105,EUR,Shipped,Card,Standard,"City-2-3, Region-2, Netherlands"
10145,20240527,2024-05-27 00:00:00,117,USD,Paid,Card,Same-Day,"City-1-2, Region-1, France"
10146,20241015,2024-10-15 00:00:00,35,GBP,Returned,Card,Standard,"City-1-1, Region-1, Netherlands"
10147,20250313,2025-03-13 00:00:00,110,EUR,Submitted,Invoice,Express,"City-1-2, Region-1, France"
10148,20240306,2024-03-06 00:00:00,176,EUR,Shipped,PayPal,Standard,"City-4-5, Region-4, United Kingdom"
10149,20240801,2024-08-01 00:00:00,198,EUR,Paid,Wire,Standard,"City-5-1, Region-5, Italy"
10150,20240920,2024-09-20 00:00:00,249,USD,Submitted,Wire,Standard,"City-3-5, Region-3, Germany"
10151,20240902,2024-09-02 00:00:00,170,USD,Shipped,Card,Same-Day,"City-2-1, Region-2, United Kingdom"
10152,20241021,2024-10-21 00:00:00,148,USD,Shipped,Card,Same-Day,"City-1-2, Region-1, Italy"
10153,20240927,2024-09-27 00:00:00,213,USD,Shipped,Card,Standard,"City-5-2, Region-5, France"
10154,20241002,2024-02-10 14:35:00,130,GBP,Shipped,Invoice,Same-Day,"City-1-2, Region-1, Italy"
10155,20250911,2025-09-11 00:00:00,164,EUR,Paid,Card,Standard,"City-3-1, Region-3, Germany"
10156,20250613,2025-06-13 00:00:00,238,EUR,Shipped,Card,Express,"City-1-1, Region-1, Spain"
10157,20250830,2025-08-30 00:00:00,223,EUR,Shipped,Card,Standard,"City-4-5, Region-4, France"
10158,20250713,2025-07-13 00:00:00,86,GBP,Shipped,PayPal,Standard,"City-5-1, Region-5, Poland"
10159,20240607,2024-06-07 00:00:00,106,EUR,Paid,PayPal,Express,"City-2-2, Region-2, Netherlands"
10160,20250407,2025-04-07 00:00:00,232,USD,Submitted,Card,Standard,"City-1-2, Region-1, France"
10161,20250910,2025-10-09 00:00:00,200,EUR,Submitted,Card,Express,"City-3-2, Region-3, Italy"
10162,20240202,2024-02-02 00:00:00,123,USD,Paid,Card,Standard,"City-4-5, Region-4, Poland"
10163,20251225,2025-12-25 00:00:00,226,USD,Submitted,Card,Standard,"City-1-1, Region-1, Netherlands"
10164,20250715,2025-07-15 00:00:00,32,EUR,Submitted,Card,Express,"City-5-5, Region-5, France"
10165,20240427,2024-04-27 14:35:00,84,EUR,Paid,PayPal,Standard,"City-4-4, Region-4, Italy"
10166,20250608,2025-06-08 00:00:00,207,USD,Shipped,Card,Standard,"City-3-4, Region-3, Germany"
10167,20240313,2024-03-13 00:00:00,80,GBP,Shipped,Card,Standard,"City-5-3, Region-5, Spain"
10168,20250928,2025-09-28 00:00:00,68,EUR,Paid,Wire,Standard,"City-5-5, Region-5, Italy"
10169,20250416,2025-04-16 00:00:00,186,USD,Submitted,Invoice,Standard,"City-3-2, Region-3, Poland"
10170,20250625,2025-06-25 00:00:00,130,EUR,Submitted,Card,Standard,"City-1-2, Region-1, Italy"
10171,20241010,2024-10-10 00:00:00,201,EUR,Shipped,PayPal,Standard,"City-5-2, Region-5, Germany"
10172,20240723,2024-07-23 00:00:00,142,GBP,Paid,Card,Standard,"City-3-4, Region-3, Spain"
10173,20240723,2024-07-23 00:00:00,66,EUR,Paid,Card,Same-Day,"City-1-2, Region-1, Germany"
10174,20250116,2025-01-16 00:00:00,72,USD,Shipped,PayPal,Standard,"City-1-3, Region-1, United Kingdom"
10175,20240610,2024-10-06 00:00:00,205,EUR,Submitted,Invoice,Standard,"City-2-5, Region-2, United Kingdom"
10176,20251005,2025-10-05 14:35:00,142,USD,Returned,Card,Standard,"City-3-4, Region-3, Spain"
10177,20250301,2025-03-01 00:00:00,206,EUR,Submitted,Wire,Standard,"City-4-5, Region-4, Spain"
10178,20240803,2024-08-03 00:00:00,66,EUR,Paid,Wire,Standard,"City-1-2, Region-1, Germany"
10179,20250224,2025-02-24 00:00:00,165,GBP,Paid,Invoice,Standard,"City-5-5, Region-5, Italy"
10180,20250808,2025-08-08 00:00:00,24,USD,Paid,Card,Standard,"City-5-1, Region-5, United Kingdom"
10181,20240401,2024-04-01 00:00:00,1,€,Paid,Wire,Standard,"City-2-4, Region-2, Poland"
10182,20251122,2025-11-22 00:00:00,219,EUR,Shipped,PayPal,Standard,"City-5-5, Region-5, United Kingdom"
10183,20251003,2025-10-03 00:00:00,247,EUR,Paid,PayPal,Standard,"City-2-5, Region-2, Italy"
10184,20241012,2024-10-12 00:00:00,249,EUR,Shipped,Card,Standard,"City-3-5, Region-3, Germany"
10185,20250724,2025-07-24 00:00:00,219,USD,Paid,Card,Standard,"City-5-5, Region-5, United Kingdom"
10186,20250709,2025-07-09 00:00:00,107,USD,Submitted,PayPal,Standard,"City-1-2, Region-1, Spain"
10187,20241022,2024-10-22 14:35:00,194,EUR,Cancelled,Wire,Standard,"City-5-4, Region-5, United Kingdom"
10188,20240705,2024-07-05 00:00:00,65,EUR,Shipped,Card,Standard,"City-1-2, Region-1, Germany"
10189,20250527,2025-05-27 00:00:00,214,USD,Paid,Card,Standard,"City-1-1, Region-1, Spain"
10190,20250802,2025-08-02 00:00:00,46,£,Submitted,PayPal,Express,"City-1-4, Region-1, Germany"
10191,20240917,2024-09-17 00:00:00,41,USD,Submitted,PayPal,Standard,"City-2-3, Region-2, Germany"
10192,20241119,2024-11-19 00:00:00,242,USD,Returned,Card,Standard,"City-2-5, Region-2, Italy"
10193,20250322,2025-03-22 00:00:00,114,USD,Shipped,Card,Same-Day,"City-1-1, Region-1, Poland"
10194,20250603,2025-06-03 00:00:00,199,EUR,Shipped,Card,Standard,"City-2-5, Region-2, Spain"
10195,20250731,2025-07-31 00:00:00,217,USD,Cancelled,Card,Standard,"City-2-3, Region-2, Netherlands"
10196,20241030,2024-10-30 00:00:00,208,USD,Shipped,Card,Standard,"City-1-3, Region-1, Italy"
10197,20240819,2024-08-19 00:00:00,151,EUR,Paid,PayPal,Standard,"City-5-2, Region-5, Italy"
10198,20240225,2024-02-25 14:35:00,202,EUR,Submitted,Card,Same-Day,"City-5-5, Region-5, Italy"
10199,20250413,2025-04-13 00:00:00,142,USD,Paid,PayPal,Standard,"City-3-4, Region-3, Spain"
10200,20250727,2025-07-27 00:00:00,159,GBP,Shipped,Card,Standard,"City-1-4, Region-1, Netherlands"
10201,20250623,2025-06-23 00:00:00,189,EUR,Shipped,PayPal,Standard,"City-4-3, Region-4, Poland"
10202,20250712,2025-07-12 00:00:00,212,EUR,Paid,Wire,Standard,"City-5-2, Region-5, United Kingdom"
10203,20240307,2024-07-03 00:00:00,7,EUR,Submitted,Card,Standard,"City-1-2, Region-1, Poland"
10204,20240105,2024-01-05 00:00:00,22,EUR,Paid,Card,Standard,"City-2-2, Region-2, Italy"
10205,20240524,2024-05-24 00:00:00,143,GBP,Shipped,Card,Express,"City-5-1, Region-5, Spain"
10206,20240115,2024-01-15 00:00:00,220,EUR,Shipped,Card,Standard,"City-4-5, Region-4, Italy"
10207,20240901,2024-09-01 00:00:00,162,EUR,Shipped,Invoice,Standard,"City-3-2, Region-3, United Kingdom"
10208,20240717,2024-07-17 00:00:00,63,EUR,Submitted,Wire,Same-Day,"City-2-1, Region-2, France"
10209,20250707,2025-07-07 14:35:00,97,USD,Submitted,Card,Same-Day,"City-4-2, Region-4, Germany"
10210,20250531,2025-05-31 00:00:00,233,EUR,Shipped,Card,Standard,"City-1-2, Region-1, United Kingdom"
10211,20240626,2024-06-26 00:00:00,111,USD,Paid,PayPal,Standard,"City-3-2, Region-3, Poland"
10212,20240520,2024-05-20 00:00:00,210,GBP,Shipped,Card,Standard,"City-4-2, Region-4, Netherlands"
10213,20240126,2024-01-26 00:00:00,99,GBP,Submitted,PayPal,Standard,"City-1-5, Region-1, Germany"
10214,20250421,2025-04-21 00:00:00,93,USD,Returned,PayPal,Standard,"City-1-2, Region-1, Germany"
10215,20241101,2024-11-01 00:00:00,172,GBP,Shipped,Card,Standard,"City-5-3, Region-5, Italy"
10216,20240804,2024-08-04 00:00:00,18,EUR,Paid,Card,Standard,"City-4-3, Region-4, Poland"
10217,20250510,2025-10-05 00:00:00,228,GBP,Submitted,Card,Standard,"City-3-2, Region-3, Italy"
10218,20250907,2025-09-07 00:00:00,156,USD,Shipped,Card,Standard,"City-2-3, Region-2, Poland"
10219,20251103,2025-11-03 00:00:00,88,EUR,Submitted,Card,Standard,"City-4-4, Region-4, Italy"
10220,20240720,2024-07-20 14:35:00,36,GBP,Shipped,Card,Standard,"City-4-5, Region-4, Poland"
10221,20250918,2025-09-18 00:00:00,27,EUR,Paid,Card,Standard,"City-4-1, Region-4, France"
10222,20240226,2024-02-26 00:00:00,119,USD,Shipped,Wire,Standard,"City-3-2, Region-3, United Kingdom"
10223,20241211,2024-12-11 00:00:00,193,USD,Paid,Card,Standard,"City-2-1, Region-2, France"
10224,20240731,2024-07-31 00:00:00,130,USD,Paid,Card,Standard,"City-1-2, Region-1, Italy"
10225,20250810,2025-08-10 00:00:00,86,EUR,Paid,Card,Same-Day,"City-5-1, Region-5, Poland"
10226,20251130,2025-11-30 00:00:00,243,USD,Paid,Card,Standard,"City-4-4, Region-4, France"
10227,20251207,2025-12-07 00:00:00,165,GBP,Shipped,Wire,Standard,"City-5-5, Region-5, Italy"
10228,20241129,2024-11-29 00:00:00,117,£,Returned,PayPal,Express,"City-1-2, Region-1, France"
10229,20251216,2025-12-16 00:00:00,149,EUR,Paid,Wire,Standard,"City-3-3, Region-3, Italy"
10230,20250620,2025-06-20 00:00:00,168,EUR,Submitted,Wire,Standard,"City-2-4, Region-2, United Kingdom"
10231,20240326,2024-03-26 14:35:00,237,GBP,Submitted,Card,Express,"City-3-2, Region-3, Germany"
10232,20250411,2025-04-11 00:00:00,25,GBP,Submitted,Card,Standard,"City-4-3, Region-4, United Kingdom"
10233,20250213,2025-02-13 00:00:00,214,EUR,Paid,Card,Same-Day,"City-1-1, Region-1, Spain"
10234,20241120,2024-11-20 00:00:00,249,EUR,Paid,Card,Express,"City-3-5, Region-3, Germany"
10235,20240413,2024-04-13 00:00:00,202,EUR,Shippedd,Card,Standard,"City-5-5, Region-5, Italy"
10236,20240404,2024-04-04 00:00:00,29,GBP,Submitted,Invoice,Same-Day,"City-3-3, Region-3, Spain"
10237,20250822,2025-08-22 00:00:00,235,GBP,Paid,Wire,Express,"City-2-5, Region-2, Germany"
10238,20250318,2025-03-18 00:00:00,232,EUR,Submitted,Card,Express,"City-1-2, Region-1, France"
10239,20250303,2025-03-03 00:00:00,49,EUR,Submitted,Card,Express,"City-1-1, Region-1, Italy"
10240,20250102,2025-01-02 00:00:00,31,USD,Submitted,Card,Standard,"City-1-1, Region-1, Netherlands"
10241,20240427,2024-04-27 00:00:00,52,USD,Paid,PayPal,Express,"City-4-1, Region-4, Italy"
10242,20250428,2025-04-28 14:35:00,101,GBP,Paid,Card,Express,"City-4-3, Region-4, United Kingdom"
10243,20250118,2025-01-18 00:00:00,176,EUR,Shipped,Card,Standard,"City-4-5, Region-4, United Kingdom"
10244,20240914,2024-09-14 00:00:00,18,USD,Paid,Card,Standard,"City-4-3, Region-4, Poland"
10245,20240820,2024-08-20 00:00:00,46,EUR,Paid,Card,Express,"City-1-4, Region-1, Germany"
10246,20240822,2024-08-22 00:00:00,222,EUR,Shipped,Card,Standard,"City-5-5, Region-5, Netherlands"
10247,20240319,2024-03-19 00:00:00,209,GBP,Shipped,Card,Standard,"City-4-1, Region-4, Poland"
10248,20250304,2025-03-04 00:00:00,74,USD,Submitted,Card,Standard,"City-5-4, Region-5, Germany"
10249,20250129,2025-01-29 00:00:00,221,EUR,Paid,Card,Same-Day,"City-4-1, Region-4, Spain"
10250,20240313,2024-03-13 00:00:00,74,GBP,Shipped,PayPal,Standard,"City-5-4, Region-5, Germany"
